name,sold,original_price,promo_price,store_name,url,img,rating,review
AdoraBaBies - 納米抗菌多用途嬰兒保濕修護濕紙巾輕便裝 (20片 x 8包) | 韓國製 | 無香 | 天然,已售出 50+,有效期至 23/5/2026,$ 58.00,Adorababies韓國旗艦店,https://www.hktvmall.com/hktv/zh/s/H0257002,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/4c52/004c/32e7/iWZJvWDxyn20230628114738_300.png,NA,NA
LEC - [弱酸性] 水99.9% 幼兒即棄濕抺巾 (日式),已售出 50+,$ 45.00,$ 42.75,Atopico/Kaneson/LEC 水99.9% 官方店,https://www.hktvmall.com/hktv/zh/s/H0793002,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/e501/fb06/affb/YVPLggwSFP20220426111256_300.jpg,NA,NA
大王 - 廸士尼大王(GOON) 學習褲 XL加大碼 增量裝 (男女共用) (12-20kg) 50片 x 3包(平行進口),已售出 50+,平均$90包,$ 270.00,H&K GROCERTIES,https://www.hktvmall.com/hktv/zh/s/H6401002,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/9888/ce9c/6fa8/VLXwbtaiRH20230706121649_300.png,NA,NA
Pampers  - [原箱] 幫寶適特級棉柔 紙尿片 M64片 x3包 (平行進口貨),已售出 50+,$ 448.00,$ 388.00,JDH Mall 生活百貨,https://www.hktvmall.com/hktv/zh/s/H9537001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/1ede/0432/6fc6/BtLoGEJJcS20230412102629_300.jpg,NA,NA
Merries - 【原箱優惠】新版 學習褲 拉拉褲 加大碼 XL(12-22kg)（50片*2包）(4901301425928)【平行進口】,已售出 50+,"新版,全網最低,限時特惠",$ 228.00,旬美百貨店,https://www.hktvmall.com/hktv/zh/exp/Redemption_B0202001_20220223,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/7d30/80e5/8299/WohTDPrfgq20230728135956_300.jpg,NA,NA
Merries - 日本花王[頂級系列]嬰兒紙尿片 M 中碼 (6-11 公斤) - 原箱 52片- First Premium (39761) 平行進口,已售出 50+,中碼(M) 156片,$ 338.00,10號店,https://www.hktvmall.com/hktv/zh/s/H8260001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/d2ba/f137/b1a7/SaNJRsrHkY20230715102705_300.jpg,NA,NA
菲比 - Fitti 菲比素肌之護嬰兒紙尿片 加大碼 48片裝 x 2包,已售出 50+,清倉價,$ 238.08,積富創意,https://www.hktvmall.com/hktv/zh/s/H5707001,https://images.hktv-img.com/images/HKTV/9539/FB003_main_57192561_20210106193910_01_300.jpg,NA,(1)
HUGGIES - [優惠套裝] [原箱] Huggies 鉑金裝Magic Comfort學習褲中碼 + 輕潤柔膚嬰兒濕紙巾套裝,已售出 50+,$ 491.80,$ 415.80,NA,https://www.hktvmall.com/hktv/zh/promo/MGA_H0888001_2020719_Huggies_Buy1499_Free_Vita,https://images.hktvmall.com/h0888001/270869/h0888001_10144841_211026022030_01_300.jpg,NA,(1)
菲比 - Fitti菲比素肌之護嬰兒紙尿褲大碼23片裝 x 4包,已售出 50+,清倉價,$ 190.72,積富創意,https://www.hktvmall.com/hktv/zh/s/H5707001,https://images.hktv-img.com/images/HKTV/9539/FB004_main_57156504_20210106152826_01_300.jpg,NA,NA
Merries - (原箱優惠) (2023最新包裝) 花王Merries 日版 紙尿片 S細碼 76片 X 2包 (平行進口),已售出 50+,$ 425.00,$ 240.00,Express,https://www.hktvmall.com/hktv/zh/s/H6401001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/e6bb/e962/7f7c/pYGwZvKIfl20230612125011_300.jpg,NA,NA
